Title,Author,Author Birth Year,Languuage,LCC (General),LCC (Full)
The Hunted Woman,"Curwood, James Oliver",1878,en,P,PS
"Lands of the Slave and the Free; Or, Cuba, the United States, and Canada","Murray, Henry A. (Henry Anthony)",1810,en,F,F1001
Cymbeline,"Shakespeare, William",1564,en,P,PR
"The Mirror of Literature, Amusement, and Instruction
Volume 10, No. 274, September 22, 1827",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 13, No. 363, March 28, 1829",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 381, July 18, 1829",Various,UNKNOWN YEAR,en,A,AP
"The Pearl Story Book
A Collection of Tales, Original and Selected","Colman, Mrs. (Pamela Chandler)",1799,en,P,PZ
"Wilson's Tales of the Borders and of Scotland, Volume 22",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PR
"The Einstein Theory of Relativity
A Concise Statement","Lorentz, H. A. (Hendrik Antoon)",1853,en,Q,QC
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 337, October 25, 1828",Various,UNKNOWN YEAR,en,A,AP
Cowmen and Rustlers: A Story of the Wyoming Cattle Ranges,"Ellis, Edward Sylvester",1840,en,P,PS
"The Mirror of Literature, Amusement, and Instruction
Volume 13, No. 373, Supplementary Number",Various,UNKNOWN YEAR,en,A,AP
Aesop's Fables; a new translation,Aesop,UNKNOWN YEAR,en,P,PA
The Winter's Tale,"Shakespeare, William",1564,en,P,PR
"The Mirror of Literature, Amusement, and Instruction
Volume 13, No. 372, May 30, 1829",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 10, No. 282, November 10, 1827",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 13, No. 352, January 17, 1829",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 13, No. 369, May 9, 1829",Various,UNKNOWN YEAR,en,A,AP
"Scientific American Supplement, No. 415, December 15, 1883",Various,UNKNOWN YEAR,en,T,T
Education as Service,"Krishnamurti, J. (Jiddu)",1895,en,L,LC
The Saint's Tragedy,"Kingsley, Charles",1819,en,P,PR
"The Mirror of Literature, Amusement, and Instruction
Volume 13, No. 370, May 16, 1829",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 13, No. 368, May 2, 1829",Various,UNKNOWN YEAR,en,A,AP
Action Front,"Cable, Boyd",1878,en,D,D501
The Tempest,"Shakespeare, William",1564,en,P,PR
"The Mirror of Literature, Amusement, and Instruction
Volume 13, No. 376, June 20, 1829",Various,UNKNOWN YEAR,en,A,AP
"Cape Cod Ballads, and Other Verse","Lincoln, Joseph Crosby",1870,en,P,PS
Germany and the Next War,"Bernhardi, Friedrich von",1849,en,U,UA
"History of Liberia
Johns Hopkins University Studies in Historical and Political Science","McPherson, J. H. T. (John Hanson Thomas)",1865,en,H,H
"The Irrational Knot
Being the Second Novel of His Nonage","Shaw, Bernard",1856,en,P,PR
Pallieter,"Timmermans, Felix",1886,nl,P,PT
"A Tale of One City: the New Birmingham
Papers Reprinted from the ""Midland Counties Herald""","Anderton, Thomas",1836,en,D,DA
Jimgrim and Allah's Peace,"Mundy, Talbot",1879,en,P,PR
"The Atlantic Monthly, Volume 08, No. 48, October, 1861
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
"Punch, or the London Charivari, Volume 156, February 26, 1919",Various,UNKNOWN YEAR,en,A,AP
King Henry the Eighth,"Shakespeare, William",1564,en,P,PR
Sacred and Profane Love: A Novel in Three Episodes,"Bennett, Arnold",1867,en,P,PR
"The Mirror of Literature, Amusement, and Instruction
Volume 13, No. 377, June 27, 1829",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 322, July 12, 1828",Various,UNKNOWN YEAR,en,A,AP
Bayard: the Good Knight Without Fear and Without Reproach,"Hare, Christopher",UNKNOWN YEAR,en,D,DG
Clarissa Harlowe; or the history of a young lady — Volume 6,"Richardson, Samuel",1689,en,P,PR
"The Fern Lover's Companion
A Guide for the Northeastern States and Canada","Tilton, George Henry",1845,en,Q,QK
"The German Classics of the Nineteenth and Twentieth Centuries, Volume 02
Masterpieces of German Literature Translated into English. in Twenty Volumes",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PT
A History of China,"Eberhard, Wolfram",1909,en,D,DS
Stories of Inventors: The Adventures of Inventors and Engineers,"Doubleday, Russell",1872,en,T,T
"The Mirror of Literature, Amusement, and Instruction
Volume 10, No. 280, October 27, 1827",Various,UNKNOWN YEAR,en,A,AP
A Lover's Complaint,"Shakespeare, William",1564,en,P,PR
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 329, August 30, 1828",Various,UNKNOWN YEAR,en,A,AP
The Moorland Cottage,"Gaskell, Elizabeth Cleghorn",1810,en,P,PR
The Nine-Tenths,"Oppenheim, James",1882,en,P,PS
Through the Wall,"Moffett, Cleveland",1863,en,P,PS
Fun and Frolic,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PZ
"The Mirror of Literature, Amusement, and Instruction
Volume 10, No. 278, Supplementary Number (1828)",Various,UNKNOWN YEAR,en,A,AP
Autobiographical Sketches,"Besant, Annie",1847,en,B,BP
The Man Whom the Trees Loved,"Blackwood, Algernon",1869,en,P,PR
"The Mirror of Literature, Amusement, and Instruction
Volume 10, No. 289, December 22, 1827",Various,UNKNOWN YEAR,en,A,AP
Round Anvil Rock: A Romance,"Banks, Nancy Huston",UNKNOWN YEAR,en,P,PS
The Research Magnificent,"Wells, H. G. (Herbert George)",1866,en,P,PR
Le socialisme en danger,"Domela Nieuwenhuis, Ferdinand",1846,fr,H,HX
Sermons for the Times,"Kingsley, Charles",1819,en,B,BX
"The Mirror of Literature, Amusement, and Instruction
Volume 13, No. 354, January 31, 1829",Various,UNKNOWN YEAR,en,A,AP
"Scientific American Supplement, No. 531, March 6, 1886",Various,UNKNOWN YEAR,en,T,T
"The Mirror of Literature, Amusement, and Instruction
Volume 10, No. 275, September 29, 1827",Various,UNKNOWN YEAR,en,A,AP
"Scientific American Supplement, No. 446, July 19, 1884",Various,UNKNOWN YEAR,en,T,T
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 347, December 20, 1828",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 10, No. 273, September 15, 1827",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 10, No. 285, December 1, 1827",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 330, September 6, 1828",Various,UNKNOWN YEAR,en,A,AP
Fisherman's Luck and Some Other Uncertain Things,"Van Dyke, Henry",1852,en,P,PS
"The Mirror of Literature, Amusement, and Instruction
Volume 13, No. 353, January 24, 1829",Various,UNKNOWN YEAR,en,A,AP
Lectures on Art,"Allston, Washington",1779,en,N,N
"Not Pretty, but Precious; And Other Short Stories",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PS
20.000 Mijlen onder Zee: Westelijk Halfrond,"Verne, Jules",1828,nl,P,PQ
Fighting in Flanders,"Powell, E. Alexander (Edward Alexander)",1879,en,D,D501
Cheerful—By Request,"Ferber, Edna",1885,en,P,PS
Fædra: Brudstykker af et Livs Historie,"Bang, Herman",1857,da,P,PT
"The Works of Samuel Johnson, LL.D. in Nine Volumes, Volume 03
The Rambler, Volume II","Johnson, Samuel",1709,en,P,PR
A Further Contribution to the Study of the Mortuary Customs of the North American Indians,"Yarrow, H. C. (Harry Crécy)",1840,en,E,E011
"The Pirates of Malabar, and an Englishwoman in India Two Hundred Years Ago","Biddulph, J. (John)",1840,en,G,G
The Tenniel Illustrations for Carroll's Alice in Wonderland,"Tenniel, John",1820,en,N,NC
Latter-Day Pamphlets,"Carlyle, Thomas",1795,en,H,HN
Mystic Isles of the South Seas.,"O'Brien, Frederick",1869,en,D,DU
"The Mirror of Literature, Amusement, and Instruction
Volume 10, No. 271, September 1, 1827",Various,UNKNOWN YEAR,en,A,AP
The Sky Line of Spruce,"Marshall, Edison",1894,en,P,PS
"The Churches of Coventry
A Short History of the City & Its Medieval Remains","Woodhouse, Frederic W.",UNKNOWN YEAR,en,N,NA
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 343, November 29, 1828",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 342, November 22, 1828",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 340, Supplementary Number (1828)",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 10, No. 284, November 24, 1827",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 346, December 13, 1828",Various,UNKNOWN YEAR,en,A,AP
"The Red Rover
A Tale","Cooper, James Fenimore",1789,en,P,PS
Selected Poems of Oscar Wilde,"Wilde, Oscar",1854,en,P,PR
"Wanderings in Wessex
An Exploration of the Southern Realm from Itchen to Otter","Holmes, Edric",1873,en,D,DA
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 390, September 19, 1829",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 10, No. 286, December 8, 1827",Various,UNKNOWN YEAR,en,A,AP
"The Refugees
A Tale of Two Continents","Doyle, Arthur Conan",1859,en,P,PR
In the Claws of the German Eagle,"Williams, Albert Rhys",1883,en,D,D501
"The Atlantic Monthly, Volume 08, No. 49, November, 1861
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
"A Description of Modern Birmingham
Whereunto Are Annexed Observations Made during an Excursion Round the Town, in the Summer of 1818, Including Warwick and Leamington","Pye, Charles",1777,en,D,DA
French Mediaeval Romances from the Lays of Marie de France,"Marie, Queen of Rumania",UNKNOWN YEAR,en,P,PQ
The Grafters,"Lynde, Francis",1856,en,P,PS
"The Love Affairs of Great Musicians, Volume 2","Hughes, Rupert",1872,en,M,ML
Typhoon,"Conrad, Joseph",1857,en,P,PR
"The Mirror of Literature, Amusement, and Instruction.
Volume 12, No. 349, Supplement to Volume 12.",Various,UNKNOWN YEAR,en,A,AP
"Russell H. Conwell, Founder of the Institutional Church in America
The Work and the Man","Burr, Agnes Rush",UNKNOWN YEAR,en,B,BX
"Slave Narratives: a Folk History of Slavery in the United States
From Interviews with Former Slaves
Arkansas Narratives, Part 7",United States. Work Projects Administration,UNKNOWN YEAR,en,E,E300
"Histoire de la Révolution française, Tome 6","Thiers, Adolphe",1797,fr,D,DC
The Trade Union Woman,"Henry, Alice",1857,en,H,HD
"Punch, or the London Charivari, Volume 153, December 5, 1917",Various,UNKNOWN YEAR,en,A,AP
The Call of the North,"White, Stewart Edward",1873,en,P,PS
A Grandmother's Recollections,"Church, Ella Rodman",1831,en,P,PZ
"Punch, or the London Charivari, Volume 153, November 14, 1917",Various,UNKNOWN YEAR,en,A,AP
"Punch, or the London Charivari, Volume 156, April 30, 1919",Various,UNKNOWN YEAR,en,A,AP
Notes on Life & Letters,"Conrad, Joseph",1857,en,P,PR
"Goede Vaêr Tromp
of hoe de Vereenigde Provinciën eene zeemogendheid werden","Louwerse, Pieter",1840,nl,P,PZ
"Character Sketches of Romance, Fiction and the Drama, Vol. 1
A Revised American Edition of the Reader's Handbook","Brewer, Ebenezer Cobham",1810,en,P,PN
The Youth's Coronal,"Gould, Hannah Flagg",1789,en,P,PZ
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 398, November 14, 1829",Various,UNKNOWN YEAR,en,A,AP
Pauvre Blaise,"Ségur, Sophie, comtesse de",1799,fr,P,PQ
Small Means and Great Ends,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PZ
"Stories by American Authors, Volume 1","Webster, Albert",1825,en,P,PS
"Stories by American Authors, Volume 5",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PS
The Willows,"Blackwood, Algernon",1869,en,P,PR
"The Snow-Drop
A Holiday Gift","Mower, Sarah S.",UNKNOWN YEAR,en,P,PS
In the Cage,"James, Henry",1843,en,P,PS
Tales of Three Hemispheres,"Dunsany, Lord",1878,en,P,PR
"The Solitary of Juan Fernandez, or the Real Robinson Crusoe","Xavier, M.",1798,en,P,PQ
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 405, December 19, 1829",Various,UNKNOWN YEAR,en,A,AP
"Punch, or the London Charivari, Volume 153, November 28, 1917",Various,UNKNOWN YEAR,en,A,AP
"Punch, or the London Charivari, Volume 153, December 12, 1917",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 348, December 27, 1828",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 400, November 21, 1829",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 401, November 28, 1829",Various,UNKNOWN YEAR,en,A,AP
"Cicero
Ancient Classics for English Readers","Collins, W. Lucas (William Lucas)",1817,en,P,PA
"An Enquiry into the Obligations of Christians to Use Means for the Conversion of the Heathens
In Which the Religious State of the Different Nations of the World, the Success of Former Undertakings, and the Practicability of Further Undertakings, Are Considered","Carey, William",1761,en,B,BV
"Rupert of Hentzau: From The Memoirs of Fritz Von Tarlenheim
Sequel to The Prisoner of Zenda","Hope, Anthony",1863,en,P,PR
Fort comme la mort,"Maupassant, Guy de",1850,fr,P,PQ
The Rome Express,"Griffiths, Arthur",1838,en,P,PR
"Stories by American Authors, Volume 6",Various,UNKNOWN YEAR,en,P,PS
La Suggestibilité,"Binet, Alfred",1857,fr,L,LB
A Visit to the United States in 1841,"Sturge, Joseph",1793,en,E,E151
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 385, August 15, 1829",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 392, October 3, 1829",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 402, Supplementary Number (1829)",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 403, December 5, 1829",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 396, October 31, 1829",Various,UNKNOWN YEAR,en,A,AP
The Journal of a Voyage to Lisbon,"Fielding, Henry",1707,en,P,PR
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 406, December 26, 1829",Various,UNKNOWN YEAR,en,A,AP
"Armenian Literature
Comprising Poetry, Drama, Folk-lore and Classic Traditions; Translated into English for the First Time",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PJ
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 382, July 25, 1829",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 404, December 12, 1829",Various,UNKNOWN YEAR,en,A,AP
"Cuba, Old and New","Robinson, Albert G. (Albert Gardner)",1855,en,F,F1751
"The Atlantic Monthly, Volume 06, No. 38, December, 1860
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
"Punch, or the London Charivari, Volume 153, December 19, 1917",Various,UNKNOWN YEAR,en,A,AP
"Verhaal van het vergaan van het jacht de Sperwer
En van het wedervaren der schipbreukelingen op het eiland Quelpaert en het vasteland van Korea (1653-1666) met eene beschrijving van dat rijk","Hamel, Hendrik",1630,nl,D,DS
"Darkest India
A Supplement to General Booth's ""In Darkest England, and the Way Out""","Booth-Tucker, Frederick St. George De Lautour",1853,en,D,DS
"Boy Scouts on Motorcycles; Or, With the Flying Squadron","Ralphson, G. Harvey (George Harvey)",1879,en,P,PZ
A Journey from This World to the Next,"Fielding, Henry",1707,en,P,PR
His Big Opportunity,"Le Feuvre, Amy",UNKNOWN YEAR,en,P,PZ
"Shareholders
Deep Waters, Part 1.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Paying Off
Deep Waters, Part 2.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Made to Measure
Deep Waters, Part 3.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Sam's Ghost
Deep Waters, Part 4.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"The Convert
Deep Waters, Part 5.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Husbandry
Deep Waters, Part 6.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Family Cares
Deep Waters, Part 7.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Bedridden and the Winter Offensive
Deep Waters, Part 8.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"The Substitute
Deep Waters, Part 9.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
The Itinerary of Archbishop Baldwin Through Wales,"Cambrensis, Giraldus",UNKNOWN YEAR,en,D,DA
"Striking Hard
Deep Waters, Part 10.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Dirty Work
Deep Waters, Part 11.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Deep Waters, the Entire Collection","Jacobs, W. W. (William Wymark)",1863,en,P,PR
The Life and Letters of Lewis Carroll (Rev. C. L. Dodgson),"Collingwood, Stuart Dodgson",1870,en,P,PR
Le pilote du Danube,"Verne, Jules",1828,fr,P,PQ
"Slave Narratives: a Folk History of Slavery in the United States
From Interviews with Former Slaves
Kansas Narratives",United States. Work Projects Administration,UNKNOWN YEAR,en,E,E300
"The Mirror of Literature, Amusement, and Instruction
Volume 13, No. 386, August 22, 1829",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 13, No. 371, May 23, 1829",Various,UNKNOWN YEAR,en,A,AP
"The Poetical Works of John Dryden, Volume 1
With Life, Critical Dissertation, and Explanatory Notes","Dryden, John",1631,en,P,PR
"Some Historical Account of Guinea, Its Situation, Produce, and the General Disposition of Its Inhabitants
An Inquiry into the Rise and Progress of the Slave Trade, Its Nature and Lamentable Effects","Benezet, Anthony",1713,en,H,HT
"From London to Land's End
and Two Letters from the ""Journey through England by a Gentleman""","Defoe, Daniel",UNKNOWN YEAR,en,D,DA
"American Negro Slavery
A Survey of the Supply, Employment and Control of Negro Labor as Determined by the Plantation Regime","Phillips, Ulrich Bonnell",1877,en,E,E300
"Punch, or the London Charivari, Volume 153, October 31, 1917",Various,UNKNOWN YEAR,en,A,AP
Il Tenente dei Lancieri: Romanzo,"Rovetta, Gerolamo",1854,it,P,PQ
The Blotting Book,"Benson, E. F. (Edward Frederic)",1867,en,P,PR
"Les joies du pardon
Petites histoires contemporaines pour la consolation des coeurs chrétiens",Anonymous,UNKNOWN YEAR,fr,B,BV
La Main Gauche,"Maupassant, Guy de",1850,fr,P,PQ
Poetry,"Quiller-Couch, Arthur",1863,en,P,PN
"Valenzia Candiano
Racconto","Rovani, Giuseppe",1818,it,P,PQ
"Scientific American Supplement, No. 601, July 9, 1887",Various,UNKNOWN YEAR,en,T,T
"An Essence of the Dusk, 5th Edition","Bain, F. W. (Francis William)",1863,en,P,PR
United States Census Figures Back to 1630,United States. Bureau of the Census,UNKNOWN YEAR,en,H,HA
"The Danish History, Books I-IX","Saxo, Grammaticus",UNKNOWN YEAR,en,D,DL
De val van Antwerpen (october 1914),"Muls, Jozef",1882,nl,D,DH
Laughing Bill Hyde and Other Stories,"Beach, Rex",1877,en,P,PS
"An Englishman Looks at the World
Being a Series of Unrestrained Remarks upon Contemporary Matters","Wells, H. G. (Herbert George)",1866,en,P,PR
Keeping up with Lizzie,"Bacheller, Irving",1859,en,P,PS
Further Foolishness,"Leacock, Stephen",1869,en,P,PS
All Things Considered,"Chesterton, G. K. (Gilbert Keith)",1874,en,P,PR
"The Old Bell of Independence; Or, Philadelphia in 1776","Watson, Henry C. (Henry Clay)",1831,en,E,E201
The Lure of San Francisco: A Romance Amid Old Landmarks,"Gray, Mabel Thayer",UNKNOWN YEAR,en,F,F850.5
Reminiscences of a Pioneer,"Thompson, William",1846,en,F,F850.5
"The Life of Jesus Christ for the Young, Vol. 3","Newton, Richard",1813,en,B,BT
The Nibelungenlied,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PT
Fascinating San Francisco,"Wood, Andrew Y.",UNKNOWN YEAR,en,F,F850.5
Robinsono Kruso,"Defoe, Daniel",UNKNOWN YEAR,eo,P,PR
O. Henry Memorial Award Prize Stories of 1921,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PS
On Land and Sea at the Dardanelles,"Bridges, T. C. (Thomas Charles)",1868,en,P,PZ
Balcony Stories,"King, Grace Elizabeth",1852,en,P,PS
"The Mirror of Literature, Amusement, and Instruction
Volume 19, No. 532, February 4, 1832",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 380, July 11, 1829",Various,UNKNOWN YEAR,en,A,AP
Out of Doors—California and Oregon,"Graves, J. A. (Jackson Alpheus)",1852,en,F,F850.5
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 387, August 28, 1829",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 14, No. 383, August 1, 1829",Various,UNKNOWN YEAR,en,A,AP
The Story of the Volsungs (Volsunga Saga); with Excerpts from the Poetic Edda,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PT
The Obstacle Race,"Dell, Ethel M. (Ethel May)",1881,en,P,PR
"A Beleaguered City
Being a Narrative of Certain Recent Events in the City of Semur, in the Department of the Haute Bourgogne. A Story of the Seen and the Unseen","Oliphant, Mrs. (Margaret)",1828,en,P,PR
Deadly Pollen,"Oliver, Stephen",1950,en,P,PR
Behind the News: Voices from Goa's Press,Various,UNKNOWN YEAR,en,P,PN
"The Atlantic Monthly, Volume 08, No. 50, December, 1861
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
"The Atlantic Monthly, Volume 03, No. 18, April, 1859
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
"Summer on the Lakes, in 1843","Fuller, Margaret",1810,en,F,F516
The World's Greatest Books — Volume 07 — Fiction,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PN
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 341, November 15, 1828",Various,UNKNOWN YEAR,en,A,AP
"La Espuma
Obras completas de D. Armando Palacio Valdés, Tomo 7.","Palacio Valdés, Armando",1853,es,P,PQ
The Chessmen of Mars,"Burroughs, Edgar Rice",1875,en,P,PS
"The Mirror of Literature, Amusement, and Instruction
Volume 19, No. 529, January 14, 1832",Various,UNKNOWN YEAR,en,A,AP
"The Life of Marie de Medicis, Queen of France, Consort of Henri IV, and Regent of the Kingdom under Louis XIII — Volume 1","Pardoe, Miss (Julia)",1806,en,D,DC
A Kentucky Cardinal: A Story,"Allen, James Lane",1849,en,P,PS
"Theocritus, translated into English Verse",Theocritus,-300,en,P,PA
The Lions of the Lord: A Tale of the Old West,"Wilson, Harry Leon",1867,en,P,PS
"Views A-foot; Or, Europe Seen with Knapsack and Staff","Taylor, Bayard",1825,en,D,D
Town and Country Sermons,"Kingsley, Charles",1819,en,B,BX
"The Mirror of Literature, Amusement, and Instruction
Volume 19, No. 530, January 21, 1832",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 19, No. 531, January 28, 1832",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 19, No. 535, February 25, 1832",Various,UNKNOWN YEAR,en,A,AP
The Voyages of Doctor Dolittle,"Lofting, Hugh",1886,en,P,PZ
"The Mirror of Literature, Amusement, and Instruction
Volume 19, No. 536, March 3, 1832",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 20, No. 567, September 22, 1832",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 19, No. 544, April 28, 1832",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 19, No. 545, May 5, 1832",Various,UNKNOWN YEAR,en,A,AP
"Slave Narratives: a Folk History of Slavery in the United States
From Interviews with Former Slaves
Arkansas Narratives, Part 5",United States. Work Projects Administration,UNKNOWN YEAR,en,E,E300
"Travels in the United States of America
Commencing in the Year 1793, and Ending in 1797. With the Author's Journals of his Two Voyages Across the Atlantic.","Priest, William",UNKNOWN YEAR,en,E,E151
"The Autobiography of a Journalist, Volume I","Stillman, William James",1828,en,P,PS
Blackfoot Lodge Tales: The Story of a Prairie People,"Grinnell, George Bird",1849,en,E,E011
"McClure's Magazine December, 1895",UNKNOWN AUTHOR,UNKNOWN YEAR,en,A,AP
The Life and Letters of Elizabeth Prentiss,"Prentiss, George Lewis",1816,en,P,PS
The Secret Adversary,"Christie, Agatha",1890,en,P,PR
Squash Tennis,"Squires, Richard C.",UNKNOWN YEAR,en,G,GV
"The Mirror of Literature, Amusement, and Instruction
Volume 19, No. 546, May 12, 1832",Various,UNKNOWN YEAR,en,A,AP
"Slave Narratives: a Folk History of Slavery in the United States
From Interviews with Former Slaves
Maryland Narratives",United States. Work Projects Administration,UNKNOWN YEAR,en,E,E300
"The Wonders of Prayer
A Record of Well Authenticated and Wonderful Answers to Prayer",UNKNOWN AUTHOR,UNKNOWN YEAR,en,B,BV
The Crimes of England,"Chesterton, G. K. (Gilbert Keith)",1874,en,D,DA
