Title,Authors,Author Birth Years,Languages,LCC Subjects
"An Essay on the Slavery and Commerce of the Human Species, Particularly the African
Translated from a Latin Dissertation, Which Was Honoured with the First Prize in the University of Cambridge, for the Year 1785, with Additions","Clarkson, Thomas",1760,en,HT
Supply and Demand,"Henderson, Hubert Douglas, Sir",1890,en,HB
The Theory of Social Revolutions,"Adams, Brooks",1848,en,JC
"An Essay Concerning Humane Understanding, Volume 1
MDCXC, Based on the 2nd Edition, Books 1 and 2","Locke, John",1632,en,B
"An Essay Concerning Humane Understanding, Volume 2
MDCXC, Based on the 2nd Edition, Books 3 and 4","Locke, John",1632,en,B
"Myths and Myth-Makers
Old Tales and Superstitions Interpreted by Comparative Mythology","Fiske, John",1842,en,BL GR
"Birthright
A Novel","Stribling, T. S. (Thomas Sigismund)",1881,en,PS
The Lives of the Poets of Great Britain and Ireland (1753) Volume III.,"Cibber, Theophilus",1703,en,PR
Plays,"Glaspell, Susan",1876,en,PS
Three John Silence Stories,"Blackwood, Algernon",1869,en,PR
"Beacon Lights of History, Volume 08: Great Rulers","Lord, John",1810,en,D
Britain at Bay,"Wilkinson, Spenser",1853,en,UA
First Project Gutenberg Collection of Edgar Allan Poe,"Poe, Edgar Allan",1809,en,PS
Coming to the King,"Havergal, Frances Ridley",1836,en,BV
Halleck's New English Literature,"Halleck, Reuben Post",1859,en,PR
"The History of the Rise, Progress and Accomplishment of the Abolition of the African Slave-Trade, by the British Parliament (1839)","Clarkson, Thomas",1760,en,HT
"Stories from the Italian Poets: with Lives of the Writers, Volume 2","Hunt, Leigh",1784,en,PQ
The Travels of Marco Polo — Volume 1,"Polo, Marco",1254,en,G
"The Uprising of a Great People
The United States in 1861. to Which is Added a Word of Peace on the Difference Between England the United States.","Gasparin, Agénor, comte de",1810,en,E151 E456
The Cask of Amontillado,"Poe, Edgar Allan",1809,en,PS
"Beacon Lights of History, Volume 09: European Statesmen","Lord, John",1810,en,D
"Beacon Lights of History, Volume 10: European Leaders","Lord, John",1810,en,D
